Title,Link,Organization,Main Research Field,Application Deadline (ISO),Application Deadline (Display)
Master Thesis Projects within AI Planning and Machine Learning,https://exjobb.liu.se/en-US/details/?id=a7221b8c-e884-ef11-a81c-002248a41503,IDA,Datavetenskap,2029-12-31,12/31/2029
Master thesis projects in Sports Analytics (tekfak),https://exjobb.liu.se/en-US/details/?id=8c08ede0-8c81-ef11-a81c-000d3ab2d51f,IDA,Datavetenskap,2028-10-31,10/31/2028
Optical Methods for Adaptive Photodynamic Therapy,https://exjobb.liu.se/en-US/details/?id=5a90b6ff-1470-ef11-a81c-000d3ad95117,Department of Biomedical Engineering (IMT),Medicinsk teknik,2026-01-01,1/1/2026
Quantification of Biologic Tissue and Media via Trans-illumination SFDI,https://exjobb.liu.se/en-US/details/?id=16926d2c-1570-ef11-a81c-000d3ad95117,Department of Biomedical Engineering (IMT),Medicinsk teknik,2026-01-01,1/1/2026
Multi-depth blood flow imaging and wound assessment in Low Resource Settings,https://exjobb.liu.se/en-US/details/?id=7cdb0f4d-1570-ef11-a81c-000d3ad95117,Department of Biomedical Engineering (IMT),Medicinsk teknik,2026-01-01,1/1/2026
SkePU backend for CUDA tensor cores,https://exjobb.liu.se/en-US/details/?id=8d826310-8981-ef11-a81c-000d3ab2d51f,IDA,Datavetenskap,2025-12-31,12/31/2025
High-level program optimization in the SkePU precompiler,https://exjobb.liu.se/en-US/details/?id=4f23889c-8981-ef11-a81c-000d3ab2d51f,IDA,Datavetenskap,2025-12-31,12/31/2025
Skeleton computing as a service in the edge-cloud continuum,https://exjobb.liu.se/en-US/details/?id=58299e02-8a81-ef11-a81c-000d3ab2d51f,IDA,Datavetenskap,2025-12-31,12/31/2025
Generalized Stream Processing Specification and Deployment for Heterogeneous Distributed Systems,https://exjobb.liu.se/en-US/details/?id=5cf7436a-8a81-ef11-a81c-000d3ab2d51f,IDA,Datavetenskap,2025-12-31,12/31/2025
Quantifying Adipocyte Density and Fibrosis in Human Liver Using Digital Pathology and MRI,https://exjobb.liu.se/en-US/details/?id=d67ee189-e65d-ee11-a81c-000d3ad77b5b,LiU och Region Östergötland,Medicinsk teknik,2025-12-31,12/31/2025
Quantifying Adipocyte Density and Fibrosis in Human Liver Using Digital Pathology and MRI,https://exjobb.liu.se/en-US/details/?id=8b8b1aa2-f45d-ee11-a81c-000d3ad77b5b,LiU och Region Östergötland,Medicinsk fysik,2025-12-31,12/31/2025
Finding and Understanding Quantum Defects,https://exjobb.liu.se/en-US/details/?id=5ad90fa2-9363-ef11-a81c-000d3ad95117,IFM,Teknisk fysik,2025-12-31,12/31/2025
Machine Learning for Materials Design,https://exjobb.liu.se/en-US/details/?id=6a7b7e1f-9463-ef11-a81c-000d3ad95117,IFM,Teknisk fysik,2025-12-31,12/31/2025
Federated harmonization of MRI volumes,https://exjobb.liu.se/en-US/details/?id=945f2914-5a76-ef11-a81c-000d3ad95117,Department of Biomedical Engineering (IMT),Elektroteknik,2025-12-31,12/31/2025
Federated harmonizaton of x-ray images of femur fractures,https://exjobb.liu.se/en-US/details/?id=a95985cf-5c76-ef11-a81c-000d3ad95117,Department of Biomedical Engineering (IMT),Elektroteknik,2025-12-31,12/31/2025
Synthetic x-ray images of femur fractures,https://exjobb.liu.se/en-US/details/?id=5d63b1d4-6076-ef11-a81c-000d3ad95117,Department of Biomedical Engineering (IMT),Elektroteknik,2025-12-31,12/31/2025
Synthetic x-ray images of femur fractures,https://exjobb.liu.se/en-US/details/?id=d284a6f3-6076-ef11-a81c-000d3ad95117,Department of Biomedical Engineering (IMT),Elektroteknik,2025-12-31,12/31/2025
Machine learning interatomic potentials for energy related materials,https://exjobb.liu.se/en-US/details/?id=6d40dce8-fa86-ef11-a81c-002248a41503,"Department of physics, chemistry and biology, IFM",Teknisk fysik,2025-12-31,12/31/2025
Optimal uppsampling och mixning för QAM-modulatorer,https://exjobb.liu.se/en-US/details/?id=a6242a9e-8e80-ef11-a81c-000d3a690ba3,Truestream AB,Elektroteknik,2025-06-30,6/30/2025
Non-Obtrusive Detection of Alcohol and Drowsiness Impairments in Drivers Using Camera-Based Monitori,https://exjobb.liu.se/en-US/details/?id=5ed9bd2f-d986-ef11-a81c-002248a41503,VTI and LiU,Medicinsk teknik,2025-06-30,6/30/2025
Mechanical Regulation of Extracellular Vesicle Release and Function in Osteosarcoma,https://exjobb.liu.se/en-US/details/?id=159ae95b-1b86-ef11-a81c-002248a41503,Department of Biomedical Engineering (IMT) and Department of Biomedical and Clinical Sciences (BKV),Medicinsk teknik,2025-06-01,6/1/2025
Mechanical Regulation of Extracellular Vesicle Release and Function in Osteosarcoma,https://exjobb.liu.se/en-US/details/?id=5467126f-3486-ef11-a81c-002248a41503,Department of Biomedical Engineering (IMT) and Department of Biomedical and Clinical Sciences (BKV),Teknisk biologi,2025-06-01,6/1/2025
Mechanical Regulation of Extracellular Vesicle Release and Function in Osteosarcoma,https://exjobb.liu.se/en-US/details/?id=b9238f91-3486-ef11-a81c-002248a41503,Department of Biomedical Engineering (IMT) and Department of Biomedical and Clinical Sciences (BKV),Kemisk biologi,2025-06-01,6/1/2025
